ID,GROUP,DATE,AGE,Gender,MEMORIZATION,GRIT,TEAMWORK,DISCIPLINE,SELF ESTEEM,CREATIVITY,LANGUAGE
109,A,1/9/2015,16,1,,,,,,,

110,A,1/9/2015,,1,,,,,,,

111,A,1/9/2015,10,1,,,,,,,

112,A,1/9/2015,,1,,,,,,,

113,A,1/9/2015,14,1,6,6,6,6,6,6,6

114,A,1/9/2015,14,1,,,,,,,

115,A,1/9/2015,16,1,,,,,,,

116,A,1/9/2015,13,1,,,,,,,

117,A,1/9/2015,15,1,6,6,6,6,6,6,6

118,A,1/9/2015,7,1,6,6,6,6,6,6,6

119,A,1/9/2015,14,1,6,6,6,6,6,6,5

120,A,1/9/2015,17,1,6,6,6,6,6,6,6

121,A,1/9/2015,14,1,,,,,,,

101,A,1/12/2015,14,1,,,,,,,

102,A,1/12/2015,18,1,6,7,6,7,6,6,6

103,A,1/12/2015,14,1,6,6,6,5,6,6,5

104,A,1/12/2015,16,1,,,,,,,

105,A,1/12/2015,14,1,6,6,6,6,6,6,6

106,A,1/12/2015,16,1,6,7,6,7,6,6,6

107,A,1/12/2015,15,1,,,,,,,

108,A,1/12/2015,12,1,6,6,6,6,6,6,6

109,A,1/12/2015,16,1,6,6,6,6,6,6,6

110,A,1/12/2015,,1,,,,,,,

111,A,1/12/2015,10,1,6,6,6,6,6,6,6

112,A,1/12/2015,,1,,,,,,,

113,A,1/12/2015,14,1,6,6,6,6,6,6,6

114,A,1/12/2015,14,1,,,,,,,

115,A,1/12/2015,16,1,6,6,6,6,6,6,6

116,A,1/12/2015,13,1,,,,,,,

117,A,1/12/2015,15,1,6,6,6,6,6,6,6

118,A,1/12/2015,7,1,6,6,6,6,6,6,6

119,A,1/12/2015,14,1,6,6,6,6,6,6,6

120,A,1/12/2015,17,1,6,6,6,6,6,6,6

121,A,1/12/2015,14,1,6,6,6,6,6,6,6

101,A,1/14/2015,14,1,,,,,,,

102,A,1/14/2015,18,1,6,7,6,6,6,6,6

103,A,1/14/2015,14,1,6,6,6,6,6,6,6

104,A,1/14/2015,16,1,,,,,,,

105,A,1/14/2015,14,1,6,7,6,6,6,6,6

106,A,1/14/2015,16,1,6,7,6,7,6,6,6

107,A,1/14/2015,15,1,,,,,,,

108,A,1/14/2015,12,1,6,7,6,6,6,6,6

109,A,1/14/2015,16,1,6,7,6,6,6,6,6

110,A,1/14/2015,,1,,,,,,,

111,A,1/14/2015,10,1,6,7,6,6,6,6,6

112,A,1/14/2015,,1,,,,,,,

113,A,1/14/2015,14,1,6,7,6,6,6,6,6

114,A,1/14/2015,14,1,,,,,,,

115,A,1/14/2015,16,1,6,7,6,6,6,6,6

116,A,1/14/2015,13,1,,,,,,,

117,A,1/14/2015,15,1,6,7,6,6,6,6,6

118,A,1/14/2015,7,1,6,6,6,6,6,6,6

119,A,1/14/2015,14,1,6,6,6,6,6,6,6

120,A,1/14/2015,17,1,6,7,6,6,6,6,6

121,A,1/14/2015,14,1,6,7,6,6,6,6,6

101,A,1/16/2015,14,1,,,,,,,

102,A,1/16/2015,18,1,6,7,6,7,6,6,6

103,A,1/16/2015,14,1,6,6,6,6,6,6,6

104,A,1/16/2015,16,1,,,,,,,

105,A,1/16/2015,14,1,6,6,6,6,6,6,6

106,A,1/16/2015,16,1,6,7,6,7,6,6,6

107,A,1/16/2015,15,1,,,,,,,

108,A,1/16/2015,12,1,6,6,6,6,6,6,6

109,A,1/16/2015,16,1,6,6,6,6,6,6,6

110,A,1/16/2015,,1,,,,,,,

111,A,1/16/2015,10,1,,,,,,,

112,A,1/16/2015,,1,,,,,,,

113,A,1/16/2015,14,1,,,,,,,

114,A,1/16/2015,14,1,,,,,,,

115,A,1/16/2015,16,1,,,,,,,

116,A,1/16/2015,13,1,,,,,,,

117,A,1/16/2015,15,1,6,6,6,6,6,6,6

118,A,1/16/2015,7,1,6,5,6,6,6,6,5

119,A,1/16/2015,14,1,6,6,6,6,6,6,6

120,A,1/16/2015,17,1,6,6,6,6,6,6,6

121,A,1/16/2015,14,1,6,6,6,6,6,6,6

101,A,1/19/2015,14,1,,,,,,,

102,A,1/19/2015,18,1,6,7,6,6,6,6,6

103,A,1/19/2015,14,1,6,6,6,6,6,6,6

104,A,1/19/2015,16,1,,,,,,,

105,A,1/19/2015,14,1,6,6,6,6,6,6,6

106,A,1/19/2015,16,1,6,7,6,7,6,6,6

107,A,1/19/2015,15,1,,,,,,,

108,A,1/19/2015,12,1,6,6,6,6,6,6,6

109,A,1/19/2015,16,1,6,6,6,6,6,6,6

110,A,1/19/2015,,1,,,,,,,

111,A,1/19/2015,10,1,6,5,6,6,6,6,6

112,A,1/19/2015,,1,,,,,,,

113,A,1/19/2015,14,1,6,6,6,6,6,6,6

114,A,1/19/2015,14,1,,,,,,,

115,A,1/19/2015,16,1,6,6,6,6,6,6,6

116,A,1/19/2015,13,1,,,,,,,

117,A,1/19/2015,15,1,6,6,6,6,6,6,6

118,A,1/19/2015,7,1,6,6,5,6,6,6,6

119,A,1/19/2015,14,1,6,6,6,6,6,6,5

120,A,1/19/2015,17,1,6,6,6,6,6,6,6

121,A,1/19/2015,14,1,6,6,6,6,6,6,6

101,A,1/21/2015,14,1,,,,,,,

102,A,1/21/2015,18,1,6,7,6,6,6,6,6

103,A,1/21/2015,14,1,,,,,,,

104,A,1/21/2015,16,1,,,,,,,

105,A,1/21/2015,14,1,,,,,,,

106,A,1/21/2015,16,1,6,7,6,7,6,6,6

107,A,1/21/2015,15,1,,,,,,,

108,A,1/21/2015,12,1,6,6,6,6,6,6,6

109,A,1/21/2015,16,1,6,6,6,6,6,6,6

110,A,1/21/2015,,1,,,,,,,

111,A,1/21/2015,10,1,6,6,6,6,6,6,6

112,A,1/21/2015,,1,,,,,,,

113,A,1/21/2015,14,1,6,6,6,6,6,6,6

114,A,1/21/2015,14,1,,,,,,,

115,A,1/21/2015,16,1,6,6,6,6,6,6,6

116,A,1/21/2015,13,1,,,,,,,

117,A,1/21/2015,15,1,6,6,6,6,6,6,6

118,A,1/21/2015,7,1,6,6,5,6,6,6,6

119,A,1/21/2015,14,1,6,6,6,6,6,6,6

120,A,1/21/2015,17,1,6,6,6,6,6,6,6

121,A,1/21/2015,14,1,6,6,6,6,6,6,6

101,A,1/23/2015,14,1,,,,,,,

102,A,1/23/2015,18,1,6,7,7,6,6,6,6

103,A,1/23/2015,14,1,6,6,6,6,6,6,6

104,A,1/23/2015,16,1,,,,,,,

105,A,1/23/2015,14,1,6,6,7,6,6,6,6

106,A,1/23/2015,16,1,6,7,7,7,6,6,6

107,A,1/23/2015,15,1,,,,,,,

108,A,1/23/2015,12,1,6,6,7,6,6,6,6

109,A,1/23/2015,16,1,6,6,7,,6,6,6

110,A,1/23/2015,,1,,,,,,,

111,A,1/23/2015,10,1,6,6,7,6,6,6,6

112,A,1/23/2015,,1,,,,,,,

113,A,1/23/2015,14,1,6,6,6,6,6,6,6

114,A,1/23/2015,14,1,,,,,,,

115,A,1/23/2015,16,1,6,6,7,6,6,6,6

116,A,1/23/2015,13,1,,,,,,,

117,A,1/23/2015,15,1,6,6,7,6,6,7,6

118,A,1/23/2015,7,1,6,6,5,6,6,6,6

119,A,1/23/2015,14,1,6,6,7,6,6,7,6

120,A,1/23/2015,17,1,6,6,6,6,6,6,6

121,A,1/23/2015,14,1,6,6,7,6,6,7,6

101,A,1/26/2015,14,1,,,,,,,

102,A,1/26/2015,18,1,6,6,7,6,6,7,6

103,A,1/26/2015,14,1,,,,,,,

104,A,1/26/2015,16,1,,,,,,,

105,A,1/26/2015,14,1,,,,,,,

106,A,1/26/2015,16,1,,,,,,,

107,A,1/26/2015,15,1,,,,,,,

108,A,1/26/2015,12,1,6,6,7,6,6,6,7

109,A,1/26/2015,16,1,6,6,7,6,6,6,6

110,A,1/26/2015,,1,,,,,,,

111,A,1/26/2015,10,1,6,6,6,6,6,6,6

112,A,1/26/2015,,1,,,,,,,

113,A,1/26/2015,14,1,6,6,6,6,6,6,6

114,A,1/26/2015,14,1,6,6,6,6,6,6,6

115,A,1/26/2015,16,1,6,6,6,6,6,6,6

116,A,1/26/2015,13,1,,,,,,,

117,A,1/26/2015,15,1,6,6,6,6,6,6,6

118,A,1/26/2015,7,1,6,6,6,5,6,6,6

119,A,1/26/2015,14,1,6,6,7,6,6,6,6

120,A,1/26/2015,17,1,6,6,7,6,6,6,6

121,A,1/26/2015,14,1,6,6,7,6,6,6,6

101,A,1/28/2015,14,1,,,,,,,

102,A,1/28/2015,18,1,6,6,7,6,6,7,6

103,A,1/28/2015,14,1,,,,,,,

104,A,1/28/2015,16,1,,,,,,,

105,A,1/28/2015,14,1,,,,,,,

106,A,1/28/2015,16,1,,,,,,,

107,A,1/28/2015,15,1,,,,,,,

108,A,1/28/2015,12,1,6,6,7,6,6,7,7

109,A,1/28/2015,16,1,6,6,6,6,6,6,6

110,A,1/28/2015,,1,,,,,,,

111,A,1/28/2015,10,1,6,6,7,6,6,7,6

112,A,1/28/2015,,1,,,,,,,

113,A,1/28/2015,14,1,6,6,5,6,6,6,6

114,A,1/28/2015,14,1,6,6,6,6,6,6,6

115,A,1/28/2015,16,1,6,6,6,6,6,6,6

116,A,1/28/2015,13,1,,,,,,,

117,A,1/28/2015,15,1,,,,,,,

118,A,1/28/2015,7,1,6,6,7,5,6,6,6

119,A,1/28/2015,14,1,6,6,7,6,6,6,6

120,A,1/28/2015,17,1,6,6,7,6,6,6,6

121,A,1/28/2015,14,1,6,6,7,6,6,6,6

101,A,1/30/2015,14,1,,,,,,,

102,A,1/30/2015,18,1,6,7,7,6,6,6,6

103,A,1/30/2015,14,1,,,,,,,

104,A,1/30/2015,16,1,,,,,,,

105,A,1/30/2015,14,1,,,,,,,

106,A,1/30/2015,16,1,,,,,,,

107,A,1/30/2015,15,1,,,,,,,

108,A,1/30/2015,12,1,6,6,7,6,6,6,7

109,A,1/30/2015,16,1,,,,,,,

110,A,1/30/2015,,1,,,,,,,

111,A,1/30/2015,10,1,,,,,,,

112,A,1/30/2015,,1,,,,,,,

113,A,1/30/2015,14,1,6,6,6,6,6,6,6

114,A,1/30/2015,14,1,6,6,6,5,6,6,6

115,A,1/30/2015,16,1,6,6,6,6,6,6,6

116,A,1/30/2015,13,1,,,,,,,

117,A,1/30/2015,15,1,,,,,,,

118,A,1/30/2015,7,1,6,6,7,5,6,6,6

119,A,1/30/2015,14,1,6,6,7,6,6,6,6

120,A,1/30/2015,17,1,6,6,7,6,6,6,6

121,A,1/30/2015,14,1,6,6,7,7,6,6,6

301,C,1/26/2015,15,1,3,5,5,6,3,4,5

302,C,1/26/2015,16,1,,,,,,,

303,C,1/26/2015,15,1,,,,,,,

304,C,1/26/2015,17,1,,,,,,,

305,C,1/26/2015,15,1,,,,,,,

306,C,1/26/2015,17,1,,,,,,,

307,C,1/26/2015,15,1,3,5,5,5,4,5,4

308,C,1/26/2015,15,1,,,,,,,

309,C,1/26/2015,14,1,4,5,5,5,3,4,3

310,C,1/26/2015,15,1,,,,,,,

311,C,1/26/2015,14,1,,,,,,,

312,C,1/26/2015,15,1,2,5,5,5,3,2,4

313,C,1/26/2015,17,1,,,,,,,

314,C,1/26/2015,15,1,,,,,,,

315,C,1/26/2015,17,1,4,5,5,6,4,4,5

301,C,1/28/2015,15,1,,,,,,,

302,C,1/28/2015,16,1,,,,,,,

303,C,1/28/2015,15,1,4,6,5,5,4,4,3

304,C,1/28/2015,17,1,,,,,,,

305,C,1/28/2015,15,1,,,,,,,

306,C,1/28/2015,17,1,,,,,,,

307,C,1/28/2015,15,1,4,5,5,6,3,3,3

308,C,1/28/2015,15,1,,,,,,,

309,C,1/28/2015,14,1,2,5,5,5,2,3,2

310,C,1/28/2015,15,1,,,,,,,

311,C,1/28/2015,14,1,,,,,,,

312,C,1/28/2015,15,1,2,4,5,5,3,3,2

313,C,1/28/2015,17,1,,,,,,,

314,C,1/28/2015,15,1,,,,,,,

315,C,1/28/2015,17,1,3,6,5,6,3,4,5

301,C,1/30/2015,15,1,,,,,,,

302,C,1/30/2015,16,1,,,,,,,

303,C,1/30/2015,15,1,4,5,5,5,,,

304,C,1/30/2015,17,1,,,,,,,

305,C,1/30/2015,15,1,,,,,,,

306,C,1/30/2015,17,1,,,,,,,

307,C,1/30/2015,15,1,3,5,5,5,,,

308,C,1/30/2015,15,1,,,,,,,

309,C,1/30/2015,14,1,2,5,5,6,,,

310,C,1/30/2015,15,1,,,,,,,

311,C,1/30/2015,14,1,,,,,,,

312,C,1/30/2015,15,1,,,,,,,

313,C,1/30/2015,17,1,,,,,,,

314,C,1/30/2015,15,1,,,,,,,

315,C,1/30/2015,17,1,,,,,,,

201,B,1/26/2015,14,1,,,,,,,

202,B,1/26/2015,14,1,2,4,5,5,4,3,4

203,B,1/26/2015,12,1,,,,,,,

204,B,1/26/2015,16,1,3,6,5,5,2,3,4

205,B,1/26/2015,9,1,,,,,,,

206,B,1/26/2015,12,1,,,,,,,

207,B,1/26/2015,12,1,,,,,,,

208,B,1/26/2015,11,1,,,,,,,

209,B,1/26/2015,12,1,,,,,,,

210,B,1/26/2015,9,1,,,,,,,

211,B,1/26/2015,13,1,,,,,,,

212,B,1/26/2015,9,1,1,4,5,4,1,2,1

213,B,1/26/2015,10,1,,,,,,,

214,B,1/26/2015,12,1,,,,,,,

215,B,1/26/2015,10,1,,,,,,,

216,B,1/26/2015,12,1,,,,,,,

217,B,1/26/2015,12,1,,,,,,,

201,B,1/28/2016,14,1,,,,,,,

202,B,1/28/2016,14,1,3,5,5,5,3,4,4

203,B,1/28/2016,12,1,,,,,,,

204,B,1/28/2016,16,1,4,6,5,5,3,4,4

205,B,1/28/2016,9,1,,,,,,,

206,B,1/28/2016,12,1,,,,,,,

207,B,1/28/2016,12,1,,,,,,,

208,B,1/28/2016,11,1,,,,,,,

209,B,1/28/2016,12,1,,,,,,,

210,B,1/28/2016,9,1,,,,,,,

211,B,1/28/2016,13,1,,,,,,,

212,B,1/28/2016,9,1,2,5,4,5,2,2,2

213,B,1/28/2016,10,1,,,,,,,

214,B,1/28/2016,12,1,,,,,,,

215,B,1/28/2016,10,1,,,,,,,

216,B,1/28/2016,12,1,,,,,,,

217,B,1/28/2016,12,1,,,,,,,

201,B,1/30/2015,14,1,,,,,,,

202,B,1/30/2015,14,1,3,5,5,6,3,5,4

203,B,1/30/2015,12,1,,,,,,,

204,B,1/30/2015,16,1,4,5,5,6,3,4,5

205,B,1/30/2015,9,1,,,,,,,

206,B,1/30/2015,12,1,,,,,,,

207,B,1/30/2015,12,1,,,,,,,

208,B,1/30/2015,11,1,,,,,,,

209,B,1/30/2015,12,1,,,,,,,

210,B,1/30/2015,9,1,,,,,,,

211,B,1/30/2015,13,1,,,,,,,

212,B,1/30/2015,9,1,3,4,5,5,2,2,2

213,B,1/30/2015,10,1,,,,,,,

214,B,1/30/2015,12,1,,,,,,,

215,B,1/30/2015,10,1,,,,,,,

216,B,1/30/2015,12,1,,,,,,,

217,B,1/30/2015,12,1,,,,,,,

101,A,2/4/2015,14,1,,,,,,,

102,A,2/4/2015,18,1,6,7,6,6,6,6,6

103,A,2/4/2015,14,1,,,,,,,

104,A,2/4/2015,16,1,,,,,,,

105,A,2/4/2015,14,1,,,,,,,

106,A,2/4/2015,16,1,,,,,,,

107,A,2/4/2015,15,1,,,,,,,

108,A,2/4/2015,12,1,6,6,6,6,6,6,7

109,A,2/4/2015,16,1,,,,,,,

110,A,2/4/2015,,1,,,,,,,

111,A,2/4/2015,10,1,,,,,,,

112,A,2/4/2015,,1,,,,,,,

113,A,2/4/2015,14,1,,,,,,,

114,A,2/4/2015,14,1,,,,,,,

115,A,2/4/2015,16,1,,,,,,,

116,A,2/4/2015,13,1,,,,,,,

117,A,2/4/2015,15,1,6,6,6,6,6,6,6

118,A,2/4/2015,7,1,6,6,6,6,6,6,6

119,A,2/4/2015,14,1,,,,,,,

120,A,2/4/2015,17,1,,,,,,,

121,A,2/4/2015,14,1,,,,,,,

101,A,2/6/2015,14,1,,,,,,,

102,A,2/6/2015,18,1,6,7,7,6,6,7,6

103,A,2/6/2015,14,1,,,,,,,

104,A,2/6/2015,16,1,,,,,,,

105,A,2/6/2015,14,1,,,,,,,

106,A,2/6/2015,16,1,,,,,,,

107,A,2/6/2015,15,1,,,,,,,

108,A,2/6/2015,12,1,6,6,7,6,6,7,6

109,A,2/6/2015,16,1,,,,,,,

110,A,2/6/2015,,1,,,,,,,

111,A,2/6/2015,10,1,,,,,,,

112,A,2/6/2015,,1,,,,,,,

113,A,2/6/2015,14,1,,,,,,,

114,A,2/6/2015,14,1,,,,,,,

115,A,2/6/2015,16,1,6,6,7,6,6,6,6

116,A,2/6/2015,13,1,,,,,,,

117,A,2/6/2015,15,1,,,,,,,

118,A,2/6/2015,7,1,6,6,6,6,6,7,6

119,A,2/6/2015,14,1,,,,,,,

120,A,2/6/2015,17,1,6,6,7,6,6,7,6

121,A,2/6/2015,14,1,,,,,,,

101,A,2/9/2015,14,1,,,,,,,

102,A,2/9/2015,18,1,6,7,7,6,6,7,6

103,A,2/9/2015,14,1,6,6,6,6,6,6,6

104,A,2/9/2015,16,1,,,,,,,

105,A,2/9/2015,14,1,6,6,6,6,5,6,5

106,A,2/9/2015,16,1,,,,,,,

107,A,2/9/2015,15,1,,,,,,,

108,A,2/9/2015,12,1,6,6,7,6,6,7,7

109,A,2/9/2015,16,1,6,6,6,6,6,7,6

110,A,2/9/2015,,1,,,,,,,

111,A,2/9/2015,10,1,6,4,7,6,6,7,6

112,A,2/9/2015,,1,,,,,,,

113,A,2/9/2015,14,1,6,6,6,6,6,6,6

114,A,2/9/2015,14,1,6,6,6,6,6,6,6

115,A,2/9/2015,16,1,6,7,6,6,6,6,6

116,A,2/9/2015,13,1,,,,,,,

117,A,2/9/2015,15,1,,,,,,,

118,A,2/9/2015,7,1,6,6,7,6,6,6,6

119,A,2/9/2015,14,1,6,6,7,6,6,6,6

120,A,2/9/2015,17,1,,,,,,,

121,A,2/9/2015,14,1,,,,,,,

101,A,2/11/2015,14,1,,,,,,,

102,A,2/11/2015,18,1,6,7,7,6,6,6,7

103,A,2/11/2015,14,1,6,6,6,5,6,6,6

104,A,2/11/2015,16,1,,,,,,,

105,A,2/11/2015,14,1,6,6,6,6,6,6,6

106,A,2/11/2015,16,1,,,,,,,

107,A,2/11/2015,15,1,6,6,6,6,6,6,6

108,A,2/11/2015,12,1,6,7,7,6,6,6,6

109,A,2/11/2015,16,1,6,6,6,6,6,6,6

110,A,2/11/2015,,1,,,,,,,

111,A,2/11/2015,10,1,6,6,7,6,6,6,6

112,A,2/11/2015,,1,,,,,,,

113,A,2/11/2015,14,1,6,6,6,6,6,6,6

114,A,2/11/2015,14,1,,,,,,,

115,A,2/11/2015,16,1,6,6,7,6,6,6,6

116,A,2/11/2015,13,1,,,,,,,

117,A,2/11/2015,15,1,,,,,,,

118,A,2/11/2015,7,1,6,6,6,5,6,6,6

119,A,2/11/2015,14,1,6,6,7,5,6,6,6

120,A,2/11/2015,17,1,,,,,,,

121,A,2/11/2015,14,1,6,6,6,6,6,6,6

101,A,2/13/2015,14,1,5,6,5,6,4,5,5

102,A,2/13/2015,18,1,6,7,6,6,6,6,7

103,A,2/13/2015,14,1,6,6,6,5,6,6,6

104,A,2/13/2015,16,1,,,,,,,

105,A,2/13/2015,14,1,6,6,6,5,6,6,6

106,A,2/13/2015,16,1,,,,,,,

107,A,2/13/2015,15,1,6,6,6,6,6,6,6

108,A,2/13/2015,12,1,6,7,6,6,6,6,6

109,A,2/13/2015,16,1,6,6,6,6,6,6,6

110,A,2/13/2015,,1,,,,,,,

111,A,2/13/2015,10,1,6,6,6,6,6,6,6

112,A,2/13/2015,,1,,,,,,,

113,A,2/13/2015,14,1,6,6,6,6,6,6,6

114,A,2/13/2015,14,1,,,,,,,

115,A,2/13/2015,16,1,6,6,6,6,6,6,6

116,A,2/13/2015,13,1,,,,,,,

117,A,2/13/2015,15,1,,,,,,,

118,A,2/13/2015,7,1,6,6,6,5,6,6,6

119,A,2/13/2015,14,1,6,6,6,5,6,6,6

120,A,2/13/2015,17,1,,,,,,,

121,A,2/13/2015,14,1,6,6,6,6,6,6,6

101,A,2/16/2015,14,1,5,5,6,6,6,6,5

102,A,2/16/2015,18,1,6,7,7,6,6,6,6

103,A,2/16/2015,14,1,6,6,6,6,6,6,6

104,A,2/16/2015,16,1,,,,,,,

105,A,2/16/2015,14,1,6,6,6,6,6,6,6

106,A,2/16/2015,16,1,,,,,,,

107,A,2/16/2015,15,1,6,6,7,6,6,6,6

108,A,2/16/2015,12,1,6,6,7,6,6,6,6

109,A,2/16/2015,16,1,6,7,7,6,6,6,6

110,A,2/16/2015,,1,,,,,,,

111,A,2/16/2015,10,1,6,6,7,6,6,6,6

112,A,2/16/2015,,1,,,,,,,

113,A,2/16/2015,14,1,6,6,6,6,6,6,6

114,A,2/16/2015,14,1,6,6,6,6,6,6,6

115,A,2/16/2015,16,1,6,6,6,6,6,6,6

116,A,2/16/2015,13,1,,,,,,,

117,A,2/16/2015,15,1,6,6,6,6,6,6,6

118,A,2/16/2015,7,1,6,6,7,6,6,6,6

119,A,2/16/2015,14,1,6,6,7,6,6,6,6

120,A,2/16/2015,17,1,6,6,6,6,6,6,6

121,A,2/16/2015,14,1,6,6,7,6,6,6,6

101,A,2/18/2015,14,1,6,6,6,5,6,5,5

102,A,2/18/2015,18,1,,,,,,,

103,A,2/18/2015,14,1,6,6,7,6,6,6,6

104,A,2/18/2015,16,1,,,,,,,

105,A,2/18/2015,14,1,6,6,6,6,6,6,6

106,A,2/18/2015,16,1,,,,,,,

107,A,2/18/2015,15,1,,,,,,,

108,A,2/18/2015,12,1,6,7,7,6,6,6,7

109,A,2/18/2015,16,1,6,6,6,6,6,6,6

110,A,2/18/2015,,1,,,,,,,

111,A,2/18/2015,10,1,6,6,7,6,6,6,6

112,A,2/18/2015,,1,,,,,,,

113,A,2/18/2015,14,1,6,6,7,6,6,6,6

114,A,2/18/2015,14,1,,,,,,,

115,A,2/18/2015,16,1,6,5,6,6,6,6,6

116,A,2/18/2015,13,1,,,,,,,

117,A,2/18/2015,15,1,,,,,,,

118,A,2/18/2015,7,1,6,6,7,6,6,6,6

119,A,2/18/2015,14,1,6,6,7,5,6,6,6

120,A,2/18/2015,17,1,6,6,6,6,6,6,6

121,A,2/18/2015,14,1,6,6,7,6,6,6,7

101,A,2/20/2015,14,1,,,,,,,

102,A,2/20/2015,18,1,6,7,6,6,6,6,6

103,A,2/20/2015,14,1,6,6,6,6,6,6,6

104,A,2/20/2015,16,1,,,,,,,

105,A,2/20/2015,14,1,6,6,6,6,6,6,6

106,A,2/20/2015,16,1,,,,,,,

107,A,2/20/2015,15,1,6,6,6,6,6,6,6

108,A,2/20/2015,12,1,6,7,6,6,6,6,6

109,A,2/20/2015,16,1,6,6,6,6,6,6,6

110,A,2/20/2015,,1,,,,,,,

111,A,2/20/2015,10,1,6,6,6,6,6,6,6

112,A,2/20/2015,,1,,,,,,,

113,A,2/20/2015,14,1,6,7,6,6,6,6,6

114,A,2/20/2015,14,1,,,,,,,

115,A,2/20/2015,16,1,6,6,6,6,6,6,6

116,A,2/20/2015,13,1,,,,,,,

117,A,2/20/2015,15,1,,,,,,,

118,A,2/20/2015,7,1,6,6,6,6,6,6,6

119,A,2/20/2015,14,1,6,6,6,6,6,6,6

120,A,2/20/2015,17,1,6,6,6,6,6,6,6

121,A,2/20/2015,14,1,6,6,6,6,6,6,6

201,B,2/16/2015,14,1,4,4,5,6,5,5,5

202,B,2/16/2015,14,1,4,4,6,6,5,2,4

203,B,2/16/2015,12,1,,,,,,,

204,B,2/16/2015,16,1,5,5,6,6,4,5,5

205,B,2/16/2015,9,1,4,5,5,6,5,5,5

206,B,2/16/2015,12,1,,,,,,,

207,B,2/16/2015,12,1,,,,,,,

208,B,2/16/2015,11,1,,,,,,,

209,B,2/16/2015,12,1,,,,,,,

210,B,2/16/2015,9,1,3,5,5,5,3,2,3

